Property Ref,Added On,Last Updated,Market Status,Type,Bedrooms,Bathrooms,Toilets,Parking Spaces,Furnishing,Price,District,State,Servicing,Service Charge,Total Area,Covered Area
2619053,13 Dec 2024,27 Mar 2025,Available,House,3,3,4,1,Furnished,110000000.0,Lekki,Lagos,,,,
2674076,21 Jan 2025,15 Apr 2025,Available,Terraced Duplex,4,4,5,3,,530000000.0,Victoria Island (VI),Lagos,Serviced,,,
2820608,15 Apr 2025,15 Apr 2025,Available,Semi-detached Duplex,5,7,6,4,,850000000.0,Lekki,Lagos,,,,
2820575,15 Apr 2025,15 Apr 2025,Available,Detached Duplex,5,5,6,5,,450000000.0,Lekki,Lagos,,,,
2790291,27 Mar 2025,15 Apr 2025,Available,Detached Duplex,4,4,5,3,,250000000.0,Lekki,Lagos,Serviced,,,
2820596,15 Apr 2025,15 Apr 2025,Available,Detached Duplex,5,,6,,,350000000.0,Lekki,Lagos,,,,
2820573,15 Apr 2025,15 Apr 2025,Available,Detached Duplex,4,4,5,,,500000000.0,Lekki,Lagos,,,,
2820611,15 Apr 2025,15 Apr 2025,Available,Terraced Duplex,4,4,5,,,300000000.0,Lekki,Lagos,Serviced,,,
2820598,15 Apr 2025,15 Apr 2025,Available,Detached Duplex,4,4,5,,,500000000.0,Lekki,Lagos,,,,
2820591,15 Apr 2025,15 Apr 2025,Available,Block of Flats,2,2,3,,,73000000.0,Lekki,Lagos,Serviced,"₦400,000 per annum",,
2606550,05 Dec 2024,12 Apr 2025,Available,House,9,,,,,600000000.0,Ketu,Lagos,,,,
2820576,15 Apr 2025,15 Apr 2025,Available,Detached Duplex,6,6,7,20,,35321652960.0,Ikoyi,Lagos,,,"3,880 sqm","3,880 sqm"
2820587,15 Apr 2025,15 Apr 2025,Available,Detached Duplex,5,5,6,,,360000000.0,Ikeja,Lagos,,,,
2820617,15 Apr 2025,15 Apr 2025,Available,Terraced Duplex,4,4,5,,,200000000.0,Ikeja,Lagos,,,,
2820597,15 Apr 2025,15 Apr 2025,Available,Terraced Duplex,4,4,5,,,275000000.0,Ikeja,Lagos,,,,
